file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,138,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,11
style.css,139,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,140,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,8
style.css,141,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,10
style.css,142,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,16
style.css,143,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,18
style.css,144,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,145,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,146,css,1a554916,dallasplunkett,2025-02-07,09:44:49,-08:00,2025-02-07T09:44:49-08:00,0,16
style.css,147,css,1a554916,dallasplunkett,2025-02-07,09:44:49,-08:00,2025-02-07T09:44:49-08:00,1,12
style.css,148,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,149,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,150,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,5
style.css,151,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,10
style.css,152,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,55
style.css,153,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,5
style.css,154,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,32
style.css,155,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,25
style.css,156,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,6
style.css,157,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,9
style.css,158,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,4
style.css,159,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,160,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,161,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,8
style.css,162,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,13
style.css,163,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,16
style.css,164,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,165,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,0
style.css,166,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,0,5
style.css,167,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,18
style.css,168,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,7
style.css,169,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,8
style.css,170,css,22b85a66,dallasplunkett,2025-02-07,10:45:47,-08:00,2025-02-07T10:45:47-08:00,1,16
style.css,171,css,1a554916,dallasplunkett,2025-02-07,09:44:49,-08:00,2025-02-07T09:44:49-08:00,0,0
style.css,172,css,1a554916,dallasplunkett,2025-02-07,09:44:49,-08:00,2025-02-07T09:44:49-08:00,0,0
style.css,173,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,15
style.css,174,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,14
style.css,175,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,2,9
style.css,176,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,0
style.css,177,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,178,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,179,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,2
style.css,180,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,14
style.css,181,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,12
style.css,182,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,183,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
